SITE_XN_ROUTE,LOC_LEG,DATE,TIME,SPEED,WHEELBASE,HEADWAY,GAP,RHO,DIRECTION
40003,70007,17/05/2021,05:52:54,19.9,1.0,2309.1,2308.0,1.0,S
40003,70007,17/05/2021,07:31:43,22.3,1.1,51.3,51.0,1.0,S
40003,70007,17/05/2021,07:35:59,23.8,1.0,255.7,255.5,1.0,S
40003,70007,17/05/2021,07:38:40,16.3,1.0,161.3,161.2,1.0,S
40003,70007,17/05/2021,07:40:21,20.9,1.0,100.4,100.2,1.0,S
40003,70007,17/05/2021,07:56:27,20.5,1.1,51.4,50.5,1.0,S
40003,70007,17/05/2021,08:02:46,21.9,1.0,379.2,379.1,1.0,S
40003,70007,17/05/2021,08:15:33,24.9,1.0,569.2,568.6,1.0,S
40003,70007,17/05/2021,08:16:54,17.8,1.0,80.7,80.5,1.0,S
40003,70007,17/05/2021,08:20:44,16.5,1.1,230.2,229.9,1.0,S
40003,70007,17/05/2021,08:20:45,17.4,1.1,1.0,0.7,1.0,S
40003,70007,17/05/2021,08:30:57,21.7,1.0,611.8,611.5,1.0,S
40003,70007,17/05/2021,08:36:54,15.7,1.0,14.1,13.6,1.0,S
40003,70007,17/05/2021,08:37:29,24.1,1.1,34.4,34.2,1.0,S
40003,70007,17/05/2021,08:40:27,22.6,1.0,178.3,178.1,1.0,S
40003,70007,17/05/2021,08:42:41,20.0,1.1,133.8,133.7,1.0,S
40003,70007,17/05/2021,08:49:51,14.4,1.0,253.8,253.5,1.0,S
40003,70007,17/05/2021,08:54:07,19.1,1.0,256.2,256.0,1.0,S
40003,70007,17/05/2021,09:15:15,19.9,1.0,28.1,27.8,1.0,S
40003,70007,17/05/2021,09:16:39,14.9,1.0,83.4,83.2,1.0,S
40003,70007,17/05/2021,09:39:37,17.6,1.1,1378.5,1378.3,1.0,S
40003,70007,17/05/2021,09:50:17,21.6,1.0,418.6,418.3,1.0,S
40003,70007,17/05/2021,09:51:12,19.4,1.1,55.2,55.0,1.0,S
40003,70007,17/05/2021,11:03:04,17.7,1.0,2255.8,2255.5,1.0,S
40003,70007,17/05/2021,11:07:47,14.5,1.1,283.8,283.6,1.0,S
40003,70007,17/05/2021,12:49:33,4.6,0.5,6105.4,6105.1,1.0,S
40003,70007,17/05/2021,14:02:39,18.7,1.0,4385.7,4385.3,1.0,S
40003,70007,17/05/2021,14:44:20,16.2,1.0,346.7,346.5,1.0,S
