SITE_XN_ROUTE,LOC_LEG,STRT_LAT,STRT_LONG,GPS,BEARING_DESC,RGN_SHORT_NM,Comments
34315,63934,-37.7788,145.03497,[-37.779058 +145.036991],NORTH BOUND,METRO NORTH WEST,
34315,63935,-37.7788,145.03497,[-37.779058 +145.036991],SOUTH BOUND,METRO NORTH WEST,
34556,64397,-37.86031,144.73627,[-37.860455 +144.735958],NORTH EAST BOUND,METRO NORTH WEST,
34556,64398,-37.86031,144.73627,[-37.860455 +144.735958],SOUTH WEST BOUND,METRO NORTH WEST,
40003,70006,-37.78605,144.99927,[-37.786119 +144.999312],NORTH BOUND,METRO NORTH WEST,POP-UP SITE
40003,70007,-37.78679,144.99971,[-37.786955 +144.999811],SOUTH BOUND,METRO NORTH WEST,POP-UP SITE
40004,70008,-37.7838,145.00727,[-37.783766 +145.007167],EAST BOUND,METRO NORTH WEST,POP-UP SITE
40004,70009,-37.78399,145.00768,[-37.783978 +145.007654],WEST BOUND,METRO NORTH WEST,POP-UP SITE
40005,70010,-37.78342,145.01666,[-37.783436 +145.016580],EAST BOUND,METRO NORTH WEST,POP-UP SITE
40005,70011,-37.78357,145.01688,[-37.783563 +145.016850],WEST BOUND,METRO NORTH WEST,POP-UP SITE
6588,59479,-37.79335,144.97364,[-37.793007 +144.973646],NORTH BOUND,METRO NORTH WEST,Decommisioned moved to Site 34314.  The last day of data is 29 Dec 2019.
6588,59480,-37.79333,144.97365,,SOUTH BOUND,METRO NORTH WEST,Decommisioned moved to Site 34314.  The last day of data is 29 Dec 2019.
32612,61171,-37.94766,145.00051,[-37.947603 +145.000533],NORTH BOUND,METRO SOUTH EAST,Bayside City Council Site
32612,61172,-37.94766,145.00051,[-37.947603 +145.000533],SOUTH BOUND,METRO SOUTH EAST,Bayside City Council Site
32614,61173,-37.91666,144.98709,[-37.916759 +144.987119],NORTH BOUND,METRO SOUTH EAST,Bayside City Council Site
32614,61174,-37.91666,144.98709,[-37.916759 +144.987119],SOUTH BOUND,METRO SOUTH EAST,Bayside City Council Site
32615,61177,-37.9061,144.98494,[-37.906133 +144.984835],NORTH BOUND,METRO SOUTH EAST,Bayside City Council Site
32615,61178,-37.9061,144.98494,[-37.906133 +144.984835],SOUTH BOUND,METRO SOUTH EAST,Bayside City Council Site
32616,61175,-37.99504,145.03862,[-37.995028 +145.038631],NORTH EAST BOUND,METRO SOUTH EAST,Bayside City Council Site
32616,61176,-37.99504,145.03862,[-37.995028 +145.038631],SOUTH WEST BOUND,METRO SOUTH EAST,Bayside City Council Site
32021,60182,-37.97548,145.0159,[-37.975480 145.01590],SOUTH BOUND,METRO SOUTH EAST,City of Bayside
